City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
398,Rawson,AR,-43.3002,-65.1023,81.45,46,15,13.11,few clouds
399,Wajima,JP,37.4,136.9,36.01,68,100,8.1,overcast clouds
400,Missoula,US,47.0166,-113.8009,20.28,74,74,2.15,broken clouds
401,Akyab,MM,20.15,92.9,65.64,55,49,15.3,scattered clouds
402,Ratnagiri,IN,16.9833,73.3,74.1,53,3,9.51,clear sky
403,Owando,CG,-0.4819,15.8999,85.91,31,21,3.51,few clouds
404,Zhizdra,RU,53.746,34.7395,32.14,98,97,6.2,light snow
405,Nyurba,RU,63.2842,118.3319,-13.07,97,17,5.84,few clouds
406,Kushiro,JP,42.975,144.3747,17.28,90,91,5.75,overcast clouds
407,Binga,ZW,-17.6203,27.3414,73.58,89,100,6.91,light rain
408,Krasnoselkup,RU,65.7,82.4667,3.56,95,100,13.62,overcast clouds
409,Fez,MA,34.0372,-4.9998,62.85,39,0,11.5,clear sky
410,Les Escoumins,CA,48.1111,-69.0236,1.65,78,100,9.66,overcast clouds
411,Namibe,AO,-15.1961,12.1522,73.96,80,87,11.12,overcast clouds
412,Nizhniy Kuranakh,RU,58.8353,125.4869,-9.45,100,100,4.36,overcast clouds
413,Hobyo,SO,5.3505,48.5268,77.49,70,52,20.78,broken clouds
414,Peyima,SL,8.7,-11.0333,95.43,18,30,4.81,scattered clouds
415,Port Macquarie,AU,-31.4333,152.9167,66.88,90,4,4.92,clear sky
416,Havre,FR,49.5833,0.3333,45.34,93,100,14.97,overcast clouds
417,Ndele,CF,8.4109,20.6473,80.92,17,7,5.3,clear sky
418,Guerrero Negro,MX,27.9769,-114.0611,64.87,35,35,2.44,scattered clouds
419,Zaragoza,ES,41.6561,-0.8773,54.05,42,0,5.01,clear sky
420,Iskateley,RU,67.6803,53.1512,8.06,93,100,9.71,overcast clouds
421,Maniitsoq,GL,65.4167,-52.9,20.66,80,100,32.19,light snow
422,Traverse City,US,44.7631,-85.6206,17.94,62,100,5.75,overcast clouds
423,Bulgan,MN,48.8125,103.5347,-8.1,96,39,3.71,scattered clouds
424,Portland,US,45.5234,-122.6762,40.6,72,20,3.0,few clouds
425,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,84.0,65,75,12.95,broken clouds
426,Vyazma,RU,55.2104,34.2951,29.05,97,99,6.91,light snow
427,Dongfeng,CN,42.6403,125.5118,1.31,92,14,5.88,few clouds
428,Hambantota,LK,6.1241,81.1185,76.84,85,51,10.09,broken clouds
429,Abu Samrah,SY,35.3029,37.1841,41.83,87,98,2.77,overcast clouds
430,Dauriya,RU,49.9333,116.8667,-18.67,98,14,4.7,few clouds
431,Bereda,ES,43.2686,-7.5406,53.35,79,1,5.17,clear sky
432,Vao,NC,-22.6667,167.4833,78.98,82,100,21.5,light rain
433,Meulaboh,ID,4.1363,96.1285,79.7,83,70,2.75,broken clouds
434,Mazurivka,UA,49.2745,24.2123,35.87,89,100,21.32,overcast clouds
435,Cabo San Lucas,MX,22.8909,-109.9124,72.61,58,30,2.39,scattered clouds
436,Graham,US,47.0529,-122.2943,37.27,100,0,0.0,clear sky
437,Simao,CN,22.7886,100.9748,50.61,70,17,1.74,few clouds
438,Villaviciosa,ES,43.4813,-5.4357,51.01,89,0,7.94,clear sky
439,Tirumullaivasal,IN,11.2333,79.8333,78.28,72,97,14.65,overcast clouds
440,Husavik,IS,66.0449,-17.3389,26.55,85,45,18.52,light snow
441,Matamoros,MX,25.5333,-103.25,55.51,69,100,0.0,haze
442,Imbituba,BR,-28.24,-48.6703,71.49,80,100,5.77,light rain
443,Huarmey,PE,-10.0681,-78.1522,73.98,77,100,9.31,overcast clouds
444,Leeton,AU,-34.5667,146.4,72.9,88,100,9.78,light rain
445,Prado,BR,-17.3411,-39.2208,83.03,68,18,10.42,few clouds
446,Biskamzha,RU,53.4497,89.5272,-6.16,98,36,2.42,scattered clouds
447,Mount Gambier,AU,-37.8333,140.7667,62.51,94,100,9.22,overcast clouds
448,Pisco,PE,-13.7,-76.2167,73.02,78,0,8.05,clear sky
449,Atasu,KZ,48.6814,71.6433,8.2,76,71,10.04,broken clouds
450,Bara,NG,10.3744,10.7288,82.45,19,45,8.5,scattered clouds
451,Marsh Harbour,BS,26.5412,-77.0636,75.11,71,99,10.98,overcast clouds
452,Shihezi,CN,44.3,86.0333,-0.35,97,96,4.32,overcast clouds
453,Erenhot,CN,43.6475,111.9767,2.44,90,5,4.56,clear sky
454,Antalaha,MG,-14.9003,50.2788,75.49,78,23,10.31,few clouds
455,Shimanovsk,RU,52.0,127.7,-6.45,87,35,8.1,scattered clouds
456,Kosovska Mitrovica,XK,42.8833,20.8667,35.94,89,91,3.62,overcast clouds
457,Mopipi,BW,-21.1833,24.8833,80.4,57,100,10.22,overcast clouds
458,Shemonaikha,KZ,50.6328,81.9056,-6.9,95,9,3.0,clear sky
459,Molo,KE,-0.2479,35.7374,57.99,50,100,0.6,overcast clouds
460,Asau,RO,46.4333,26.4,39.4,73,41,14.85,scattered clouds
461,Sao Sebastiao,BR,-23.76,-45.4097,78.71,89,100,6.44,overcast clouds
462,Beisfjord,NO,68.3751,17.5988,17.65,96,99,3.78,overcast clouds
463,Balatonfured,HU,46.9619,17.8719,42.37,61,62,15.01,broken clouds
464,Gamba,GA,-2.65,10.0,78.87,76,38,5.66,scattered clouds
465,Okato,NZ,-39.2,173.8833,54.91,83,77,3.11,broken clouds
466,Dalbandin,PK,28.8947,64.4101,61.97,26,3,4.12,clear sky
467,Kirakira,SB,-10.4544,161.9205,79.59,87,100,10.65,moderate rain
468,Palmer,US,42.1584,-72.3287,34.84,52,100,1.01,overcast clouds
469,Camacupa,AO,-12.0167,17.4833,63.61,96,100,2.57,light rain
470,Legnica,PL,51.2101,16.1619,39.94,79,77,17.52,broken clouds
471,Vila Velha,BR,-20.3297,-40.2925,87.75,71,0,11.01,clear sky
472,Shenzhen,CN,22.5455,114.0683,66.07,96,97,5.53,overcast clouds
473,Kaspiyskiy,RU,45.3929,47.3707,28.26,72,35,7.96,scattered clouds
474,Casino,AU,-28.8667,153.05,67.95,94,53,0.0,broken clouds
