City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kaspiyskiy,RU,2022-01-26 20:37:35,45.3929,47.3707,31.3,89,100,10.89
68,Hithadhoo,MV,2022-01-26 20:37:36,-0.6,73.0833,81.32,74,100,20.71
69,Motzorongo,MX,2022-01-26 20:37:36,18.6333,-96.7333,73.72,67,75,4.54
70,Provideniya,RU,2022-01-26 20:37:36,64.3833,-173.3,-6.65,64,75,6.71
71,Ahipara,NZ,2022-01-26 20:37:37,-35.1667,173.1667,69.28,70,88,14.05
72,Avarua,CK,2022-01-26 20:37:37,-21.2078,-159.775,82.45,83,75,14.97
73,Isangel,VU,2022-01-26 20:37:37,-19.55,169.2667,78.91,89,59,3.44
74,Nikolskoye,RU,2022-01-26 20:37:38,59.7035,30.7861,24.71,88,100,8.86
75,Seoul,KR,2022-01-26 20:36:33,37.5683,126.9778,26.11,66,20,8.05
76,Sobolevo,RU,2022-01-26 20:37:38,54.4299,31.8996,1.63,100,99,4.63
77,George,ZA,2022-01-26 20:37:39,-33.963,22.4617,63.95,94,100,10.36
78,Khatanga,RU,2022-01-26 20:33:33,71.9667,102.5,-3.89,85,98,10.87
79,Arraial Do Cabo,BR,2022-01-26 20:37:39,-22.9661,-42.0278,85.96,62,0,14.97
80,Bengkulu,ID,2022-01-26 20:37:39,-3.8004,102.2655,76.98,87,100,3.4
81,Lata,PT,2022-01-26 20:37:40,40.1629,-8.3327,53.82,79,33,3.94
82,Sakaraha,MG,2022-01-26 20:37:40,-22.9,44.5333,72.79,68,0,2.68
83,Krasnoselkup,RU,2022-01-26 20:37:41,65.7,82.4667,-5.21,95,100,18.03
84,Mataura,NZ,2022-01-26 20:37:41,-46.1927,168.8643,53.47,91,43,6.8
85,Mackay,AU,2022-01-26 20:37:41,-21.15,149.2,75.69,94,75,12.66
86,Manama,BH,2022-01-26 20:34:00,26.2154,50.5832,69.78,49,0,10.36
87,Bambous Virieux,MU,2022-01-26 20:37:42,-20.3428,57.7575,72.21,78,20,5.75
88,Manggar,ID,2022-01-26 20:37:42,-2.8833,108.2667,79.54,81,100,9.46
89,Lompoc,US,2022-01-26 20:32:45,34.6391,-120.4579,71.08,61,0,8.05
